station_a,station_b,pair_type,uparea_a,uparea_b,kge_a,kge_b,mean_ndiff,ndiff_param_CalChanMan1,ndiff_param_CalChanMan3,ndiff_param_GwLoss,ndiff_param_GwPercValue,ndiff_param_LZThreshold,ndiff_param_LakeMultiplier,ndiff_param_LowerZoneTimeConstant,ndiff_param_PowerPrefFlow,ndiff_param_SnowMeltCoef,ndiff_param_TransSub,ndiff_param_UpperZoneTimeConstant,ndiff_param_b_Xinanjiang
5483.0,5479.0,sibling,1.095601e+10,2.6971335e+10,0.127627,0.881382,0.5373611116715072,0.9297351111111111,0.10651933333333334,0.53233364,0.17979396984924625,0.44926666666666665,0.6666666666666666,0.05062753623188405,0.7444926666666666,0.8368599999999999,0.02268988,0.9594721180295073,0.9698757515030061
16557.0,5494.0,direct,1.3049757e+09,1.29913e+12,0.710913,0.786123,0.5361460693757771,0.9406620000000001,0.1111111111111111,0.71698,0.17938793969849248,0.24579999999999996,0.6666666666666666,0.8009982608695653,0.8347397333333333,0.8403624999999999,0.06817786666666666,0.10278819704926231,0.9260785571142285
5479.0,5521.0,sibling,2.6971335e+10,6.0623736e+11,0.881382,0.866136,0.5334722900808059,0.9342706666666667,0.6837926666666667,0.45507780000000003,0.12522613065326638,0.21144,0.9941313333333334,0.08724057971014493,0.7516358666666666,0.3683749999999999,0.00127556,0.9429579894973742,0.8462438877755512
16570.0,5494.0,direct,3.6764762e+09,1.29913e+12,0.293409,0.786123,0.5328280937592563,0.9771442222222222,0.3265,1.0,0.2099844221105528,0.06968333333333329,0.9095866666666668,0.2870315942028986,0.8353769333333332,0.8403624999999999,0.007212000000000006,0.5089472368092023,0.4221082164328658
16552.0,5494.0,direct,8.5826883e+09,1.29913e+12,0.832899,0.786123,0.5245358180998032,0.9670686666666667,0.1111111111111111,0.99878021,0.24794824120603015,0.23227999999999996,0.6666666666666666,0.4032736231884058,0.8337564,0.8034399999999999,0.09051313333333331,0.14086771692923225,0.7987240480961924
16570.0,5479.0,sibling,3.6764762e+09,2.6971335e+10,0.293409,0.881382,0.5242301971651214,0.9475617777777777,0.3219082222222222,0.534324,0.3020899497487437,0.08978333333333334,0.9095866666666668,0.017417391304347826,0.7662329333333332,0.8750825,0.12513014666666666,0.9589119779944987,0.4427334669338678
16561.0,5494.0,sibling,2.0945343e+09,1.29913e+12,0.778711,0.786123,0.5235165578633115,0.9779553333333334,0.1111111111111111,0.658075,0.12231909547738697,0.616051,0.6666666666666666,0.9700982608695652,0.831788,0.8403624999999999,0.11356068666666666,0.2099324831207802,0.16427855711422845
5512.0,5521.0,sibling,1.855581e+10,6.0623736e+11,0.480593,0.866136,0.5219246418773585,0.23819333333333337,0.6883844444444445,0.6307898,0.10380402010050259,0.6462,0.9941313333333334,0.14893188405797103,0.9853305333333334,0.5067075000000001,0.0013176266666666669,0.9115903975993997,0.4077148296593186
16156.0,5875.0,direct,2.761527e+09,6.839492e+11,0.788941,0.769023,0.5181575173675527,0.6750355555555555,0.8709822222222221,0.622193,0.36298190954773873,0.5731466666666667,0.6666666666666666,0.15300289855072463,0.7986653333333334,0.4454100000000001,0.17440666666666668,0.19629107276819202,0.6791082164328657
16156.0,7178.0,sibling,2.761527e+09,5.94991e+11,0.788941,0.451827,0.5181575173675527,0.6750355555555555,0.8709822222222221,0.622193,0.36298190954773873,0.5731466666666667,0.6666666666666666,0.15300289855072463,0.7986653333333334,0.4454100000000001,0.17440666666666668,0.19629107276819202,0.6791082164328657
5479.0,5514.0,sibling,2.6971335e+10,5.6703336e+10,0.881382,0.765147,0.5166413538669464,0.953715111111111,0.7108504444444445,0.5300153400000001,0.32717989949748744,0.6342143333333333,0.9998666666666667,0.16005942028985506,0.26926266666666654,0.56014,0.0019853137333333336,0.3431505376344086,0.7092565130260521
