ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,elv_mean,elv_median,laii_mean,laii_median,laif_mean,laif_median,gradient_mean,gradient_median,lusemask_mean,lusemask_median,soildepth1_f_mean,soildepth1_f_median,soildepth1_o_mean,soildepth1_o_median,fracforest_mean,fracforest_median,fracirrigated_mean,fracirrigated_median,fracother_mean,fracother_median,ksat1_f_mean,ksat1_f_median,ksat1_o_mean,ksat1_o_median
15901,NEAR GENESEO. IL,Green,Green,1077,US,2597.8,2594.99,41.49,-90.16,-90.125,41.475, ,calibrated,01/01/1980 00:00',06/04/2023 00:00',07/04/2003 00:00',0.672935,0.0452382,KGEJSD,NorthAmerica,Mississipi,219.93843290034823,214.54756927490234,1.2408647152065917,1.2655142545700073,1.930525870440365,1.9532119035720825,0.0017657957116729219,0.0007918064075056463,1.0,1.0,50.0,50.0,50.0,50.0,0.06525905418224981,0.052418436855077744,0.001845123772237432,0.0,0.9234981394634864,0.9396549481898546,70.12426928459705,55.915226737133644,70.12426928459705,55.915226737133644
15903,MARSHALLTOWN. IA,Iowa,IOWA,1077,US,3967.9,4082.35,42.07,-92.91,-92.925,42.075, ,calibrated,01/01/1980 00:00',07/03/2023 00:00',08/03/2003 00:00',0.715874,0.0384848,KGEJSD,NorthAmerica,Mississipi,346.43235025600904,352.5398864746094,1.2399370273216135,1.2398383617401123,1.74869385336892,1.767930507659912,0.001457539646005755,0.0013525733957067132,1.0,1.0,50.0,50.0,50.0,50.0,0.04127404297587405,0.01977432705461979,0.0,0.0,0.9469482018983312,0.9705452937632799,122.11722617302657,111.65392640250221,122.11722617302657,111.65392640250221
15904,JANESVILLE. IA,Upper Iowa,Cedar,1077,US,4302.0,4387.72,42.65,-92.47,-92.425,42.675, ,calibrated,01/01/1980 00:00',16/03/2023 00:00',11/03/2003 00:00',0.695789,0.0461808,KGEJSD,NorthAmerica,Mississipi,359.99122629239776,368.29052734375,1.2184785505295777,1.220201849937439,1.8074388521424056,1.8607254028320312,0.0015285524927566038,0.0014115947997197509,1.0,1.0,50.0,50.0,50.0,50.0,0.060300911274774084,0.035149820148944855,0.0,0.0,0.9251157729529764,0.9549420922994614,112.66969135709134,109.76401892204225,112.66969135709134,109.76401892204225
15905,CHARLES CITY. IA,Upper Iowa,Cedar,1077,US,2729.9,2855.097856,43.06,-92.67,-96.175,47.875, ,calibrated,01/01/1980 00:00',18/01/2023 00:00',29/11/2002 00:00',0.290267,0.0615351,KGEJSD,NorthAmerica,Nelson,387.50997992568244,371.28436279296875,1.0117308655902566,1.0035772323608398,1.7467930164682814,1.833426594734192,0.0014935575467201175,0.0009800773113965988,1.0,1.0,50.0,50.0,50.0,50.0,0.27831029702039095,0.2066372185945511,0.0004745863564094072,0.0,0.7077971684080735,0.766544171333313,279.3859778742543,245.77403523981167,279.3859778742543,245.77403523981167
15906,SHELL ROCK. IA,Shell Rock,SHELL ROCK,1077,US,4522.1,4467.05,42.71,-92.58,-92.575,42.675, ,calibrated,01/01/1980 00:00',16/03/2023 00:00',13/03/2003 00:00',0.723538,0.028558,KGEJSD,NorthAmerica,Mississipi,356.5682515117708,369.52003479003906,1.2179702167196587,1.2262863516807556,1.7438259273947634,1.7669260501861572,0.0013331770359733524,0.0010985636617988348,1.0,1.0,50.0,50.0,50.0,50.0,0.050680254563246395,0.03459060564637184,0.0,0.0,0.9252362324861223,0.9548968859016895,146.5623209647463,139.72497827818486,146.5623209647463,139.72497827818486
15907,NEAR OSKALOOSA. IA (S. BRANCH),South Skunk,SKUNK,1077,US,4234.7,4353.14,41.36,-92.66,-92.625,41.375, ,calibrated,01/01/1980 00:00',02/12/2022 00:00',03/12/2002 00:00',0.686099,0.0382387,KGEJSD,NorthAmerica,Mississipi,295.8683361750355,298.5570983886719,1.2650539241166912,1.2618695497512817,1.8273942839159163,1.8664913177490234,0.002304078946667114,0.0020030823070555925,1.0,1.0,50.0,50.0,50.0,50.0,0.07340671939137616,0.05149093270301819,0.0,0.0,0.9068431717790703,0.9350447207689285,99.86524092784671,89.39557044177295,99.86524092784671,89.39557044177295
15908,DAKOTA CITY. IA (EAST FORK),East Fork Des Moines,Des Moines,1077,US,3387.7,3540.8,42.72,-94.19,-94.175,42.725, ,calibrated,01/01/1980 00:00',28/03/2023 00:00',28/03/2003 00:00',0.768515,0.0184455,KGEJSD,NorthAmerica,Mississipi,369.2476015005665,365.87890625,1.214978893035615,1.2181720733642578,1.75162228491956,1.7669260501861572,0.001048639553264094,0.0008056260412558913,1.0,1.0,50.0,50.0,50.0,50.0,0.030157606793930928,0.01762637123465538,0.0,0.0,0.9570986192095258,0.9767047688364983,164.99509874010823,149.4682672921298,164.99509874010823,149.4682672921298
15909,VAN METER. IA,North Raccoon,RACCOON,1077,US,8912.2,8765.52,41.53,-93.95,-93.925,41.525, ,calibrated,01/01/1980 00:00',01/01/2024 00:00',02/01/2004 00:00',0.779503,0.0423276,KGEJSD,NorthAmerica,Mississipi,360.74728501510043,360.81996154785156,1.2150861256449337,1.2154288291931152,1.7262572584796272,1.6750863790512085,0.0015252761674374488,0.001200395228806883,1.0,1.0,50.0,50.0,50.0,50.0,0.06570443922705417,0.02848833240568638,0.0,0.0,0.921384914730407,0.9629851691424847,60.008382862341655,55.12061608364006,60.008382862341655,55.12061608364006
15910,NEAR JEFFERSON. IA,North Raccoon,NORTH RACCOON,1077,US,4193.2,4156.71,41.99,-94.38,-94.375,41.975, ,calibrated,01/01/1980 00:00',03/04/2023 00:00',04/04/2003 00:00',0.716976,0.0138321,KGEJSD,NorthAmerica,Mississipi,376.6895904045824,374.625,1.186420598959649,1.1814346313476562,1.7090519319491824,1.6750863790512085,0.0013326038166308265,0.000976875628111884,1.0,1.0,50.0,50.0,50.0,50.0,0.03467352256951388,0.01958779338747263,0.0,0.0,0.9506706093125601,0.9726438540965319,61.14650885614381,57.163328827952625,61.14650885614381,57.163328827952625
15911,NEAR WEBSTER CITY. IA,Boone,BOONE,1077,US,2185.9,2090.81,42.43,-93.8,-93.825,42.425, ,calibrated,01/01/1980 00:00',29/03/2023 00:00',24/03/2003 00:00',0.673363,0.0102689,KGEJSD,NorthAmerica,Mississipi,351.98569723999424,350.18385314941406,1.1996605244953429,1.204985499382019,1.7575421632845283,1.767930507659912,0.0011175999702061114,0.0008054147765506059,1.0,1.0,50.0,50.0,50.0,50.0,0.03161100820757447,0.01528560696169734,0.0,0.0,0.9563712443107305,0.9776843702420592,199.26172476240288,185.93264105976004,199.26172476240288,185.93264105976004
15913,NEAR TROY. MO,Cuivre,CUIVRE,1077,US,2338.8,2351.94,39.02,-90.98,-90.975,39.025, ,calibrated,01/01/1980 00:00',16/02/2023 00:00',10/02/2003 00:00',0.634848,0.128273,KGE,NorthAmerica,Mississipi,221.9637003897569,226.27301025390625,1.3796521949703389,1.3810521364212036,2.0249937732706753,1.9848439693450928,0.0022138000284003573,0.001832136360462755,1.0,1.0,50.0,50.0,50.0,50.0,0.2658848888611653,0.2422589361667633,0.0005709362632498503,0.0,0.7243719010356611,0.7413933426141739,70.62307856257134,69.69829770580361,70.62307856257134,69.69829770580361
15915,SHELBY. IN,Kankakee,Kankakee,1077,US,4607.6,4712.75,41.18,-87.34,-87.375,41.175, ,calibrated,01/01/1980 00:00',15/03/2023 00:00',16/03/2003 00:00',0.733377,0.0827698,KGEJSD,NorthAmerica,Mississipi,226.9828080800499,223.40655517578125,1.3084877589435961,1.307367205619812,2.024747423386977,2.0436487197875977,0.001179032243867324,0.0009446771582588553,1.0,1.0,50.0,50.0,50.0,50.0,0.21935194173542844,0.20231732726097107,0.009324574226298201,0.007,0.7414632984886784,0.7645517926216125,271.40469072659744,251.57703825977774,271.40469072659744,251.57703825977774
15917,NEAR CHEBANSE. IL,Iroquois,IROQUOIS,1077,US,5415.7,5154.65,41.01,-87.82,-87.825,41.025, ,calibrated,01/01/1980 00:00',12/04/2023 00:00',13/04/2003 00:00',0.677497,0.0473657,KGEJSD,NorthAmerica,Mississipi,208.1475497960906,205.370361328125,1.1864382761887817,1.1837269067764282,1.8909990434494544,1.9325188398361206,0.0008164754228398701,0.0005562176229432225,1.0,1.0,50.0,50.0,50.0,50.0,0.0666660495418129,0.02911441121250391,0.0009070073433608638,0.0,0.9212151666753573,0.9551321342587471,163.64949510705316,105.61952792318397,163.64949510705316,105.61952792318397
15918,DAYTON. IL,Fox,Fox,1077,US,6843.4,6785.3,41.38,-88.79,-88.775,41.375, ,calibrated,01/01/1980 00:00',04/12/2023 00:00',03/12/2003 00:00',0.732324,0.00559679,KGEJSD,NorthAmerica,Mississipi,244.47333156321105,245.93690490722656,1.2174330762149748,1.2300688028335571,1.976763876679542,1.9589309692382812,0.0019794113589818667,0.0014690019306726754,1.0,1.0,50.0,50.0,50.0,50.0,0.20270423979076424,0.20847813040018082,9.44451292419641e-05,0.0,0.6842247218341782,0.6738825887441635,73.37984632572135,72.32181960902949,73.37984632572135,72.32181960902949
15919,NEAR LEONORE. IL,Vermilion,VERMILION,1077,US,3240.0,3252.35,41.21,-88.93,-88.925,41.225, ,calibrated,01/01/1980 00:00',08/02/2023 00:00',07/02/2003 00:00',0.684141,0.0147743,KGEJSD,NorthAmerica,Mississipi,209.11149944576167,208.19676208496094,1.1908813133748872,1.2118257284164429,1.6782686768198245,1.5779162645339966,0.0011908847651136507,0.00118296651635319,1.0,1.0,50.0,50.0,50.0,50.0,0.032029109116074574,0.014322727918624878,0.0,0.0,0.9543714724295418,0.9771433863788843,60.10953815247866,58.591821561336445,60.10953815247866,58.591821561336445
15921,SEVILLE. IL,Spoon,SPOON,1077,US,4236.7,4211.85,40.49,-90.34,-90.325,40.475, ,calibrated,01/01/1980 00:00',07/03/2023 00:00',07/03/2003 00:00',0.681485,0.0547586,KGEJSD,NorthAmerica,Mississipi,215.168906553082,217.04792022705078,1.3501194648813513,1.3459758162498474,1.9947826271175568,1.9689311981201172,0.0017357634072421222,0.001609465281944722,1.0,1.0,50.0,50.0,50.0,50.0,0.13755580187646077,0.10378018394112587,0.0,0.0,0.8511582126814723,0.8857384286820889,56.24854470078862,55.09245473378908,56.24854470078862,55.09245473378908
15922,NEAR GREENVIEW. IL,Salt,SALT CREEK,1077,US,4672.4,4654.97,40.13,-89.74,-89.725,40.125, ,calibrated,01/01/1980 00:00',05/01/2023 00:00',06/01/2003 00:00',0.699301,0.0276836,KGEJSD,NorthAmerica,Mississipi,206.83626490072723,206.2377471923828,1.2815154264692459,1.2803826332092285,1.8499588384884855,2.001302480697632,0.001309835740236741,0.0009421258582733572,1.0,1.0,50.0,50.0,50.0,50.0,0.05339051459854933,0.03355233371257782,0.004608904627488011,0.0,0.9154048504872403,0.9494354017078876,53.67315546233762,51.327368616780966,53.67315546233762,51.327368616780966
15923,RIPLEY. IL,La Moine,LA MOINE,1077,US,3348.9,3466.67,40.02,-90.63,-90.625,40.025, ,calibrated,01/01/1980 00:00',04/01/2023 00:00',02/01/2003 00:00',0.630893,0.0722023,KGEJSD,NorthAmerica,Mississipi,198.1263730081374,199.64434814453125,1.3379422050332208,1.3429906368255615,1.931711645916364,1.9400267601013184,0.0018939335411008995,0.0016745430184528232,1.0,1.0,50.0,50.0,50.0,50.0,0.20813110795847412,0.19453562796115875,2.0327170120865478e-05,0.0,0.7819395340522471,0.7958251237869263,58.98565717903369,57.215144617010154,58.98565717903369,57.215144617010154
15924,NEAR GAILSVILLE. WI,Black,Black,1077,US,5387.2,5451.48,44.06,-91.29,-91.275,44.075, ,calibrated,01/01/1980 00:00',25/10/2022 00:00',24/10/2002 00:00',0.765568,0.0217477,KGEJSD,NorthAmerica,Mississipi,334.4804426653279,315.6618347167969,1.411354662016144,1.3774667978286743,2.0841730433502237,2.086326837539673,0.002310395670636309,0.0018276048358529806,1.0,1.0,50.0,50.0,50.0,50.0,0.5844058941999231,0.603398859500885,0.0,0.0,0.4048459954359298,0.3881434202194214,153.53835684677216,130.40162398187314,153.53835684677216,130.40162398187314
15925,NEILLSVILLE. WI,Black,Black,1077,US,1939.9,1862.76,44.56,-90.62,-90.625,44.575, ,calibrated,01/01/1980 00:00',07/10/2022 00:00',06/10/2002 00:00',0.750161,0.0152505,KGEJSD,NorthAmerica,Mississipi,404.2813760769673,404.1045227050781,1.382372278764694,1.3513156175613403,2.044814336694713,2.0828003883361816,0.0017276991874840355,0.0015404196456074715,1.0,1.0,50.0,50.0,50.0,50.0,0.4408832371113467,0.4088387191295624,0.0,0.0,0.5448975113084822,0.5458189845085144,76.84871068932797,72.95448566590828,76.84871068932797,72.95448566590828
15926,NEAR BRUCE. WI,Upper Chippewa,CHIPPEWA,1077,US,4273.5,4292.24,45.45,-91.26,-91.275,45.425, ,calibrated,01/01/1980 00:00',04/10/2022 00:00',05/10/2002 00:00',0.758096,0.0315993,KGEJSD,NorthAmerica,Mississipi,424.690774525088,427.75494384765625,1.3929155940028484,1.3822861909866333,2.1888579650155333,2.195344924926758,0.0024019906285880537,0.0016071004793047905,1.0,1.0,50.0,50.0,50.0,50.0,0.8606110523446948,0.9086065292358398,0.0,0.0,0.10014474608054576,0.06767141819000244,145.97197191343705,145.6689534251743,145.97197191343705,145.6689534251743
