ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,elv_mean,elv_median,laii_mean,laii_median,laif_mean,laif_median,gradient_mean,gradient_median,lusemask_mean,lusemask_median,soildepth1_f_mean,soildepth1_f_median,soildepth1_o_mean,soildepth1_o_median,fracforest_mean,fracforest_median,fracirrigated_mean,fracirrigated_median,fracother_mean,fracother_median,ksat1_f_mean,ksat1_f_median,ksat1_o_mean,ksat1_o_median,tp_mean_annual,tp_std_interann,tp_seasonality,eT0_mean_annual,eT0_std_interann,eT0_seasonality,ta_mean,ta_std_interann,ta_seasonality,aridity_index
16247,STEVENSON. CONN.,Housatonic,HOUSATONIC,1077,US,3999.0,4078.877952,41.38,-73.17,-73.175,41.375, ,calibrated,01/01/1980 00:00',20/04/2021 00:00',20/04/2001 00:00',0.785741,0.0334356,KGEJSD,NorthAmerica,StLawrenceStJohnCoastal,292.9308603014737,288.30084228515625,1.490390925954305,1.481478571891785,2.565439257805687,2.559199333190918,0.0108287791149376,0.0077941166236996,1.0,1.0,50.0,50.0,50.0,50.0,0.823897051604075,0.8563376069068909,5.691986859331162e-05,0.0,0.1398347220754512,0.1271060705184936,79.57178083902905,79.81141304997975,79.57178083902905,79.81141304997975,1239.422132885474,165.13876073055562,0.07974073669047178,909.1704191679006,49.408154875907584,0.5243968955596746,9.575726376027598,0.7352825241722579,0.8382648224579696,0.7335437983919805
16249,FORT EDWARD. NY,Hudson / Hoosic,Hudson,1077,US,7277.9,7289.57696,43.27,-73.6,-73.575,43.275, ,calibrated,01/01/1980 00:00',01/12/2022 00:00',02/12/2002 00:00',0.774543,0.0547643,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,500.5964879872129,525.2164306640625,1.4774318215151294,1.5387866497039795,2.626345039905276,2.596719980239868,0.0128515239675694,0.0092224515974521,1.0,1.0,50.0,50.0,50.0,50.0,0.91806628575863,0.9530808329582214,0.0,0.0,0.0471364716740352,0.0312719941139221,56.4815148974117,56.00167282462421,56.4815148974117,56.00167282462421,1264.9523735821163,157.1923939301306,0.1059227734050622,772.7021055090227,42.27990417168179,0.5888925235340421,6.408055807613137,0.7410415500995027,1.3661082196113845,0.6108547022374211
16250,NORTH CREEK. NY,Upper Hudson,Hudson,1077,US,2051.3,2145.037312,43.7,-73.98,-73.975,43.725, ,calibrated,01/01/1980 00:00',12/04/2023 00:00',11/04/2003 00:00',0.790833,0.00656385,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,628.1752970046896,593.7717590332031,1.4252228102527296,1.3744326829910278,2.574538649519511,2.537977695465088,0.013014004603495,0.0085650542750954,1.0,1.0,50.0,50.0,50.0,50.0,0.94739732605356,0.9576364159584044,0.0,0.0,0.0313580420227384,0.0240735411643981,57.74156778762176,57.27269375939008,57.74156778762176,57.27269375939008,1233.513637949957,147.3552419251758,0.104848374055183,748.2829451996707,39.81647525374807,0.5990940040359372,5.406579556046602,0.7478678792304676,1.6355944106403235,0.6066272169015355
16252,GARDINER. N.Y.,Rondout,WALLKILL,1077,US,1800.0,1788.5248,41.69,-74.17,-74.175,41.675, ,calibrated,01/01/1980 00:00',20/12/2022 00:00',21/12/2002 00:00',0.799655,0.0195715,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,194.90882676176892,180.78207397460935,1.576106905937195,1.5761069059371948,2.381903792647236,2.390767812728882,0.0077642283592236,0.0049756015650928,1.0,1.0,50.0,50.0,50.0,50.0,0.6674528179385923,0.6752769351005554,0.0001817677739944,0.0,0.2876401875464877,0.2946817874908447,64.00372413391517,63.75672492663255,64.00372413391517,63.75672492663255,1227.248648950472,186.9221705359078,0.08154074109679486,911.7310535748404,57.1416294868198,0.5082997318796568,10.761722618009971,0.7824351264512903,0.7374598707261888,0.7429065449406211
16254,MONTAGUE. NJ,Middle Delaware / Mongaup / Brodhead,Delaware,1077,US,9013.2,9066.068992,41.31,-74.8,-74.775,41.325, ,calibrated,01/01/1980 00:00',05/04/2022 00:00',01/04/2002 00:00',0.773185,0.0203294,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,491.6649819753424,477.122314453125,1.5545476962567866,1.5761069059371948,2.4474749246866345,2.417457103729248,0.0092960296028539,0.0078282803297042,1.0,1.0,50.0,50.0,50.0,50.0,0.8661958140614794,0.8889049291610718,0.0,0.0,0.1124364894369329,0.095366895198822,47.94493896986254,46.2036196427767,47.94493896986254,46.2036196427767,1238.3008491686262,168.33459773593583,0.08340894405709344,856.5216603561071,51.66111500486225,0.5258442028060513,8.556722470237384,0.7493952223475121,0.9369790670562209,0.6916910869690196
16255,FISHS EDDY. NY (EAST BRANCH),East Branch Delaware,Delaware,1077,US,2030.6,2068.2784,41.97,-75.17,-75.175,41.975, ,calibrated,01/01/1980 00:00',08/04/2022 00:00',06/04/2002 00:00',0.667552,0.0936968,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,622.258541653022,603.1280822753906,1.560141932366602,1.5761069059371948,2.4055726907205828,2.403456807136536,0.0106478809085562,0.0094790472649037,1.0,1.0,50.0,50.0,50.0,50.0,0.9082516940536712,0.9211178123950958,0.0,0.0,0.0782672704121674,0.069376915693283,41.02071873480173,41.14515337756077,41.02071873480173,41.14515337756077,1282.808423131278,167.52031827434857,0.08139708819341225,834.4701432742465,48.05279750293047,0.539983952778422,7.444072382027659,0.7372787105891109,1.086804760441238,0.650502544438664
16257,POTTSTOWN. PA.,Schuylkill,SCHUYLKILL,1077,US,2970.7,3129.891584,40.24,-75.65,-75.625,40.225, ,calibrated,01/01/1980 00:00',06/02/2023 00:00',04/02/2003 00:00',0.755667,0.0277627,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,208.15325016026316,189.6332550048828,1.5184348423609308,1.5047725439071655,2.400702669835905,2.434514284133911,0.0073654558256456,0.0054848864674568,1.0,1.0,50.0,50.0,50.0,50.0,0.5374385555997091,0.5610912442207336,0.0,0.0,0.3968168274572343,0.3523668646812439,76.85661877565214,76.55401977467736,76.85661877565214,76.55401977467736,1229.016406338818,194.69421332488483,0.07802714187905942,961.563356913151,58.87984097036935,0.5041379590795049,11.609536831102163,0.766563405157766,0.6770739451370957,0.7823844758733556
16259,CONKLIN. NY,Upper Susquehanna,Susquehanna,1077,US,5780.9,5939.700736,42.04,-75.8,-75.775,42.025, ,calibrated,01/01/1980 00:00',01/12/2022 00:00',02/12/2002 00:00',0.785599,0.00434997,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,475.32767763054113,472.15965270996094,1.4692290237036938,1.4585134983062744,2.434661258861599,2.437916755676269,0.0085458008580834,0.0073549509979784,1.0,1.0,50.0,50.0,50.0,50.0,0.75365006120294,0.7638207077980042,0.0,0.0,0.2316494378654001,0.2214991152286529,42.01631044952804,41.314847040091045,42.01631044952804,41.314847040091045,1227.4098958683635,151.40751415319178,0.09583742885015648,830.3700857329039,47.398119550146234,0.5422061087534181,8.030845783722878,0.7337080040415008,1.012172044597567,0.6765222347709986
16260,UNADILLA. NY,Upper Susquehanna,Susquehanna,1077,US,2543.4,2621.714176,42.32,-75.32,-75.275,42.325, ,calibrated,01/01/1980 00:00',09/03/2023 00:00',07/09/1983 00:00',0.773453,0.00665508,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,504.4198311248877,499.1072998046875,1.4585134983062744,1.4585134983062744,2.424439730332301,2.426872730255127,0.0079299932815857,0.0067155957221984,1.0,1.0,50.0,50.0,50.0,50.0,0.7419219696027021,0.7530182003974915,0.0,0.0,0.2379007434783552,0.2252330183982849,38.32645967101773,38.10570491299473,38.32645967101773,38.10570491299473,1214.8932022966576,148.51679536036175,0.09526835627521994,824.8240063268337,45.90509094616877,0.5441479504180661,7.729808815711812,0.7283376163070234,1.0551591503191136,0.6789271721724761
16261,NEAR CHENANGO FORKS. NY,Chenango,CHENANGO,1077,US,3841.0,3873.939456,42.22,-75.85,-75.825,42.225, ,calibrated,01/01/1980 00:00',02/11/2022 00:00',03/11/2002 00:00',0.76966,0.0342626,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,446.6111036475503,445.9657897949219,1.4585134983062742,1.4585134983062744,2.4335679468119595,2.438111662864685,0.0076245957703416,0.0066332130227237,1.0,1.0,50.0,50.0,50.0,50.0,0.716355600951999,0.7292164862155914,0.0,0.0,0.2699550042884553,0.255919486284256,45.996932280967485,45.28208425397125,45.996932280967485,45.28208425397125,1286.9246013738277,152.4555244425241,0.09199158420471457,831.7201960174513,46.44319963212069,0.5528464191064831,8.041039969292736,0.732676326001287,1.0165726971109386,0.6462851010304465
16262,CHEMUNG. NY,Chemung,CHEMUNG,1077,US,6490.5,6544.922112,4200000.0,-76.63,-76.625,42.025, ,calibrated,01/01/1980 00:00',01/12/2022 00:00',02/12/2002 00:00',0.731597,0.0409161,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,495.18273060667536,490.5181884765625,1.564946028932637,1.567052960395813,2.3396263642693227,2.346632957458496,0.0092124634188965,0.0081982780247926,1.0,1.0,50.0,50.0,50.0,50.0,0.6871822945702509,0.6935012936592102,0.0,0.0,0.2963457898939817,0.2985079884529114,76.73317298237085,75.88448655897227,76.73317298237085,75.88448655897227,1083.8145191286376,134.39359611165452,0.11242348848075033,843.310339273556,52.33880485075205,0.5341932760844778,8.46296656584457,0.7952331742956869,0.9459379581573963,0.7780947056804134
16263,NEWPORT. PA,Lower Juniata,JUNIATA,1077,US,8686.9,8839.888896,40.48,-77.13,-77.125,40.475, ,calibrated,01/01/1980 00:00',12/12/2023 00:00',13/12/2003 00:00',0.791777,0.0358836,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,381.3868679802066,373.86956787109375,1.4681026252130442,1.3547711372375488,2.421575693660072,2.437943696975708,0.0122533604194357,0.0091280657798051,1.0,1.0,50.0,50.0,50.0,50.0,0.7123810214904528,0.7215062975883484,0.0,0.0,0.266834892551267,0.248655080795288,50.986971251924594,49.234439710669136,50.986971251924594,49.234439710669136,1131.3822258039397,197.47940602132167,0.11168169444744007,901.7080498390177,56.3320540192417,0.5087204928773867,10.636899035932798,0.8005403616783906,0.732438055855587,0.7969968320814659
16264,HUNTINGDON. PA,Upper Juniata,JUNIATA,1077,US,2113.4,2492.426496,40.48,-78.02,-78.025,40.475, ,calibrated,01/01/1980 00:00',31/01/2023 00:00',29/01/2003 00:00',0.708769,0.0158296,KGEJSD,NorthAmerica,GulfAtlanticCoastCaribbean,417.42269940208143,403.0472106933594,1.3614513468204177,1.3543642163276672,2.428312794175554,2.446743845939636,0.0137039315108415,0.0098932180553674,1.0,1.0,50.0,50.0,50.0,50.0,0.7258895155691071,0.7190083265304565,0.0,0.0,0.246897684486835,0.2437213957309723,49.10852768252529,47.160937202085904,49.10852768252529,47.160937202085904,1141.114194392441,198.66393524439874,0.12097791631529814,877.5084151305697,56.849785644734176,0.5128896277599717,10.152384923324483,0.8135031572186008,0.7683547216543672,0.7689926384604987
