ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,CalChanMan1,CalChanMan3,GwLoss,GwPercValue,LZThreshold,LakeMultiplier,LowerZoneTimeConstant,PowerPrefFlow,SnowMeltCoef,TransSub,UpperZoneTimeConstant,b_Xinanjiang
13412,LEÔNIDAS (BAMBU),RIOS OIAPOQUE.ARAGUARI E .....,ARAGUARI,1104,BR,15200.0,15256.93,0.7925,-51.606389,-51.625,0.825, ,calibrated,01/01/1980 00:00',01/03/1999 00:00',01/01/1980 00:00',0.817764,0.0434436,KGEJSD,SouthAmerica,OrinocoAtlanticNorthCoast,4.15536,4.01885,0.0980532,0.265702,23.609,1.0,636.215,0.776167,4.0,0.0148079,37.6234,3.49355
13420,CONCEIÇÃO (EX. ILHA DA NOVA SORTE),RIO SOLIMÕES.JURUÁ.JAPURÁ.....,Jutai,1104,BR,17600.0,17637.58,-4.8967,-68.6633,-68.675,-4.925, ,calibrated,02/09/1997 00:00',01/06/2023 00:00',03/04/2002 00:00',0.85021,0.077385,KGEJSD,SouthAmerica,Amazonas,1.26024,4.68666,0.0221074,0.300364,20.9522,1.0,565.199,1.6179,4.0,0.00073476,19.8608,1.74703
13424,PASSO DO MENDONÇA,LAGOA DOS PATOS,CAMAQUÃ,1104,BR,15600.0,15783.22,-31.0119,-52.0525,-52.075,-31.025, ,calibrated,01/01/1980 00:00',01/07/2023 00:00',26/11/2002 00:00',0.709744,0.0157913,KGEJSD,SouthAmerica,SouthBrazilUruguayAtlanticCoast,5.0,1.0,0.244763,0.244763,7.3994,1.0,709.466,2.96573,4.0,0.0,4.24049,1.3074
13425,AQUIDAUANA,RIOS PARAGUAI.SÃO LOURENÇO E .,AQUIDAUANA,1104,BR,15700.0,15603.56864,-20.4783,-55.8014,-55.775,-20.475, ,calibrated,01/01/1980 00:00',01/09/2022 00:00',29/07/2002 00:00',0.770955,0.0421714,KGEJSD,SouthAmerica,LaPlata,0.592717,1.0,0.292041,1.87746,6.82502,1.0,438.189,1.07283,4.0,0.0147637,18.1254,0.498773
13430,FAZENDA BELÉM,RIOS VAZA BARRIS.ITAPICURU E .,Vaza-Barris,1104,BR,15900.0,15847.49,-10.9431,-37.3469,-37.375,-10.925, ,calibrated,01/01/1980 00:00',01/06/2023 00:00',02/03/2003 00:00',0.540986,0.0997003,KGEJSD,SouthAmerica,SouthBrazilUruguayAtlanticCoast,0.512874,1.0,0.0,1.2594,29.9798,1.0,66.8247,2.59471,4.0,0.0230025,3.67729,0.889838
13431,CACHOEIRA DOS ÓCULOS - MONTANTE,RIO DOCE,Doce,1104,BR,15900.0,15792.7,-19.7769,-42.4764,-42.525,-19.825, ,calibrated,01/01/1980 00:00',01/06/2023 00:00',07/04/2003 00:00',0.85867,0.049518,KGEJSD,SouthAmerica,SouthBrazilUruguayAtlanticCoast,1.81964,2.32543,0.00545229,2.0,16.9678,1.0,447.669,0.88709,4.0,0.0435244,38.3328,2.88514
13436,UAICÁS,RIO SOLIMÕES.NEGRO.BRANCO.....,URARICOERA,1104,BR,16100.0,15512.11,3.5497,-63.1692,-63.175,3.525, ,calibrated,04/05/1984 00:00',01/09/2019 00:00',29/08/1999 00:00',0.809281,0.0219285,KGEJSD,SouthAmerica,Amazonas,5.0,1.0,0.0,1.57375,27.266,1.0,48.0716,0.5,4.0,0.00213779,35.1615,0.264153
13440,UHE BARRA BONITA LARANJAL PAULISTA,RIOS PARANÁ.TIETÊ E OUTROS,Tietê,1104,BR,16100.0,16524.93517,-22.9575,-47.8208,-47.825,-22.975, ,calibrated,02/06/1981 00:00',01/01/2020 00:00',09/08/1998 00:00',0.766659,0.0195492,KGEJSD,SouthAmerica,LaPlata,3.35588,1.0,0.268755,1.90112,7.35081,1.0,442.393,1.86138,4.0,0.00764218,28.3023,0.01
13443,LEONTINO,RIO AMAZONAS.MADEIRA.GUAPORÉ....,GUARIBA,1104,BR,16200.0,16139.66,-7.7394,-60.5761,-60.575,-7.775, ,calibrated,10/11/1984 00:00',01/02/2023 00:00',20/06/2002 00:00',0.933996,0.0284084,KGEJSD,SouthAmerica,Amazonas,3.42489,1.76841,0.331058,0.854581,15.5712,1.0,606.615,8.0,4.0,0.0644202,25.4752,0.363603
13447,ARAÇUAÍ,RIO JEQUITINHONHA,ARAÇUAÍ,1104,BR,16230.0,15839.31,-16.8503,-42.0631,-42.075,-16.875, ,calibrated,01/01/1980 00:00',01/06/2023 00:00',01/05/2003 00:00',0.792132,0.0382764,KGEJSD,SouthAmerica,SouthBrazilUruguayAtlanticCoast,0.5,1.0,0.0406069,1.07091,12.838,1.0,499.72,1.30314,4.0,0.0570585,8.01882,1.24773
