efas,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,GlofasID,note,oldnotes,SourceGlo,GlofasV5
11879,ÁGUAS DO JACÚ,RIOS PARANÁ.PARANAPANEMA E ...,DAS ANTAS,1104,BR,1030,0,-23.3894,-53.2331,0,0, , , ,NULL,no
11880,PCH VARZEA ALEGRE JUSANTE,RIO DOCE,JOSÉ PEDRO,1104,BR,1036,0,-19.9828,-41.7172,-41.725,-19.975, ,PCH means small hydropowerredundat  check after 2018, ,NULL,no
11881,LAVANDEIRA,RIO TOCANTINS.PARANÃ.PALMA....,MOSQUITO,1104,BR,1040,0,-12.7936,-46.5122,-46.475,-12.775, ,removed after calib  modelled flow much smaller ... not sure!, ,NULL,no
11882,MARILÂNDIA (PONTE BR-494),RIOS SÃO FRANCISCO.PARAOPEBA E,ITAPECIRICA,1104,BR,1040,0,-20.2161,-44.9183,-44.975,-20.325, ,simmilar ts to 12278, ,NULL,no
11883,PONTE DE RODAGEM,RIOS SÃO FRANCISCO.VERDE GRANDE,VERDE GRANDE,1104,BR,1040,0,-16.7667,-43.7,0,0, , , ,NULL,no
11885,RAPOSO TAVARES,RIOS PARANÁ.TIETÊ E OUTROS,SOROCABA,1104,BR,1040,0,-23.5233,-47.4494,-47.475,-23.525, ,12320 has long ts, ,NULL,no
11886,VOTORANTIN,RIOS PARANÁ.TIETÊ E OUTROS,SOROCABA,1104,BR,1040,0,-23.533333,-47.45,0,0, , , ,NULL,no
11890,FAZENDA CORRENTE,RIO DOCE,CORRENTE GRANDE,1104,BR,1050,0,-18.8947,-42.7125,-42.725,-18.875, ,12307 has long ts, ,NULL,no
11891,PCH AREAL JUSANTE,RIO PARAÍBA DO SUL,PRETO,1104,BR,1050,0,-22.2244,-43.0914,-43.075,-22.225, ,11803 has long ts PCH means small hydropower, ,NULL,no
11892,NHANDEARA / VOTUPORANGA,RIOS PARANÁ.TIETÊ E OUTROS,SÃO JOSÉ DOS DOURADOS,1104,BR,1050,0,-20.5444,-50.0103,-49.975,-20.575, , , ,NULL,no
11894,SÃO PEDRO,RIOS PARANÁ.PARANAPANEMA E ...,DOS PATOS,1104,BR,1050,0,-25.2328,-50.9525,-50.975,-25.225, ,14525 has long ts, ,NULL,no
11895,CERRO CHATO,LAGOA MIRIM,ARROIO BASÍLIO,1104,BR,1050,0,-31.8647,-53.2683,-53.275,-31.875, ,flow ok, ,NULL,no
11896,PCH CANTU 2 MONTANTE,RIOS PARANÁ.PARANAPANEMA E ...,CANTU,1104,BR,1051,0,-24.7247,-52.3931,-52.375,-24.775, ,PCH means small hydropower, ,NULL,no
11897,RIO ITAPECURU,RIO TOCANTINS.MANUEL ALVES GRANDE,ITAPICURU,1104,BR,1060,0,-7.4619,-47.3922,-47.375,-7.475, ,small, ,NULL,no
11898,PEDRO VERSIANI,RIOS MUCURI.SÃO MATEUS E ....,TODOS OS SANTOS,1104,BR,1060,0,-17.8789,-41.3108,0,0, , , ,NULL,no
11899,SANTANÉSIA,RIO PARAÍBA DO SUL,PIRAÍ,1104,BR,1060,0,-22.5167,-43.8167,0,0, , , ,NULL,no
