ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,glacier_frac
95,Gornja Radgona,Danube,Mur,1005,SI,10197.2,10411.5,46.6811,15.9956,16.025,46.675,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.86027,0.0118127,KGEJSD,Europe,Danube,0.0020274406926351573
96,Ptuj,Danube,Drava,1005,SI,13664.1,13778.92,46.4169,15.8675,15.825,46.425,NRT,calibrated,14/04/2009 00:00',01/01/2024 00:00',14/04/2009 00:00',0.868333,0.00832332,KGEJSD,Europe,Danube,0.07822603300816452
98,Radovljica,Danube,Sava,1005,SI,907.97,919.49,46.34,14.1654,14.175,46.325,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.621529,0.1199,KGEJSD,Europe,Danube,0.0
106,Veliko Širje,Danube,Savinja,1005,SI,1841.9,1798.91,46.0919,15.1924,15.225,46.075,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.752053,0.0387444,KGEJSD,Europe,Danube,0.0
107,Podbočje,Danube,Krka,1005,SI,2238.12,1793.17,45.8644,15.4555,15.525,45.875,NRT,calibrated,13/04/2009 00:00',01/01/2024 00:00',13/04/2009 00:00',0.75158,0.0354071,KGEJSD,Europe,Danube,0.0
108,Solkan,Soca/Isonzo,Soca,1005,SI,1572.8,1437.89824,45.98162,13.65517,13.625,45.975,NRT,calibrated,29/05/2009 00:00',01/01/2024 00:00',29/05/2009 00:00',0.543287,0.137786,KGEJSD,Europe,SouthEastTurkeyIsraelDon,0.0
109,Bollendorf,Rhine,Saar,1010,DE,3222.0,3277.75,49.850921,6.359171,6.325,49.825,NRT,calibrated,19/04/2009 00:00',01/01/2024 00:00',19/04/2009 00:00',0.858317,0.0242452,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
113,Martinstein,Rhine,Nahe,1010,DE,1468.0,1501.41,49.803795,7.536,7.525,49.825,NRT,calibrated,19/04/2009 00:00',01/01/2024 00:00',19/04/2009 00:00',0.778539,0.0288002,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
114,Odenbach,Rhine,Glan,1010,DE,1085.53,1067.25,49.68892,7.652247,7.675,49.675,NRT,calibrated,19/04/2009 00:00',01/01/2024 00:00',19/04/2009 00:00',0.767427,0.0158705,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
117,Bad Vilbel,Rhine,Nidda,1009,DE,1619.3,1701.2,50.182246,8.741063,8.725,50.175,NRT,calibrated,30/10/2008 00:00',01/01/2024 00:00',30/10/2008 00:00',0.77388,0.0394535,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
118,Hanau,Rhine,Kinzig,1009,DE,921.2,911.78,50.132084,8.94581,8.975,50.175,NRT,calibrated,30/10/2008 00:00',01/01/2024 00:00',30/10/2008 00:00',0.80086,0.0407492,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
120,Marburg,Rhine,Lahn,1009,DE,1666.2,1665.38,50.798714,8.764476,8.775,50.775,NRT,calibrated,30/10/2008 00:00',01/01/2024 00:00',30/10/2008 00:00',0.746113,0.0227772,KGEJSD,Europe,RhineMaasScheldtSeine,0.0
125,Kemihaara,Kemijoki,Kemijoki,1011,FI,8538.0,8560.75,67.198533,27.785512,27.825,67.175,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.775369,0.0202135,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
128,Vikajärvi  luusua,Kemijoki,Raudanjoki,1011,FI,3017.0,2906.64,66.621822,26.219519,26.225,66.625,efas,calibrated,01/01/1994 00:00',31/12/2012 00:00',01/01/1994 00:00',0.872324,0.0587465,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
